Fighter
1
10
2
3
9
Bill Algeo
Bill Mahood
Billy Elekana
Billy Goff
Billy Miles
Billy Quarantillo
Blagoy Ivanov
Blake Bilder
Bo Nickal
Boardwalk Hall
Bob Cook
Bob Gilstrap
Bobby Green
Bobby Hoffman
Bobby Moffett
Bobby Nash
Bobby Southworth
Bobby Voelker
Bogdan Grad
Bogdan Guskov
Bojan Mihajlović
Bojan Veličković
Bolaji Oki
Boston Salmon
Brad Blackburn
Brad Gumm
Brad Imes
Brad Katona
Brad Kohler
Brad Morris
Brad Pickett
Brad Riddell
Brad Scott
Brad Tavares
Brady Hiestand
Branden Lee Hinkle
Brandon Davis
Brandon Jenkins
Brandon Melendez
Brandon Moreno
Brandon Moreno(c)
Brandon Moreno(ic)
Brandon Royval
Brandon Thatch
Brandon Vera
Brandon Wolff
Braxton Smith
Brendan Allen
Brendan Loughnane
Brendan Marotte
Brendan O'Reilly
Brendan Schaub
Brendan SchaubdefeatsMatt MitrioneUFC 165
Brendon Marotte
Brendson Ribeiro
Brett Johns
Brian Bowles
Brian Camozzi
Brian Cobb
Brian Ebersole
Brian Foster
Brian Gassaway
Brian Geraghty
Brian Houston
Brian Johnston
Brian Kelleher
Brian Melancon
Brian Ortega
Brian Stann
Brianna Van Buren
Bridgestone Arena
Brisbane Entertainment Centre
Bristol Marunde
Brock Jardine
Brock Larson
Brock Lesnar
Brock Lesnar(c)
Brodie Farber
Brogan Walker
Brok Weaver
Bruna Brasil
Brunno Ferreira
Bruno Gustavo da Silva
Bruno Lopes
Bruno Rodrigues
Bruno Santos
Bruno Silva
Bruno Souza
Bryan Barberena
Bryan Battle
Bryan Caraway
Bryce Mitchell
Bryce Mitchell (FW)
Bubba Bush
Bubba McDaniel
Buddy Roberts
Byron Bloodworth
C. B. Dollaway
C.J. Keith
C.J. Vergara
CJ Fernandes
CM Punk
Cain Carrizosa
Cain Velasquez
Cain Velasquez(c)
Caio Borralho
Caio Machado
Caio Magalhaes
Caio Magalhães
Cal Worsham
Cale Yarbrough
Callan Potter
Calvin Kattar
Cameron Dollar
Cameron Else
Cameron Saaiman
Cameron Smotherman
Cameron VanCamp
Caol Uno
Caolán Loughran
Capital FM Arena
Carl Deaton III
Carla Esparza
Carla Esparza(c)
Carli Judice
Carlo Pedersoli Jr.
Carlo Prater
Carlos Barreto
Carlos Candelario
Carlos Condit
Carlos Condit(ic)
Carlos Diego Ferreira
Carlos Eduardo Rocha
Carlos Felipe
Carlos Hernandez
Carlos Hernández
Carlos Huachin
Carlos Leal
Carlos Mota
Carlos Newton
Carlos Newton(c)
Carlos Prates
Carlos Ulberg
Carlos Vera
Carls John de Tomas
Carlston Harris
Carlton Minus
Carmelo Marrero
Caros Fodor
Casey Kenney
Casey O'Neill
Cat Zingano
Cathal Pendred
Cesar Arzamendia
Cesar Marscucci
Cezar Ferreira
Chad Anheliger
Chad Griggs
Chad Laprise
Chad Mendes
Chad Reiner
Chael Sonnen
Chan Sung Jung
Chan-Mi Jeon
Chance Rencountre
Charalampos Grigoriou
Charles Byrd
Charles Johnson
Charles Jourdain
Charles McCarthy
Charles Oliveira
Charles Oliveira(c)
Charles OliveiradefeatsEric WiselyUFC on Fox: Evans vs. Davis
Charles Radtke
Charles Rosa
Charlie Brenneman
Charlie Campbell
Charlie Ontiveros
Charlie Rader
